what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1372485272495
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1372485272496
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1372485272497
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1372485272499
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1372485272500
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1372485272503
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1372485272504
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1372485272506
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1372485272508
os,sysinfo,,,"win32",1372485272515
arch,sysinfo,,,"x86",1372485272515
ws,sysinfo,,,"win32",1372485272515
locale,sysinfo,,,"en_US",1372485272515
processors,sysinfo,,,"8",1372485272515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372485272515
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1372485272515
java.specification.name,sysinfo,,,"Java Platform API Specification",1372485272515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1372485272515
java.specification.version,sysinfo,,,"1.7",1372485272515
java.vendor,sysinfo,,,"Oracle Corporation",1372485272515
java.version,sysinfo,,,"1.7.0_21",1372485272515
java.vm.info,sysinfo,,,"mixed mode, sharing",1372485272515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372485272515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372485272515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372485272515
java.vm.specification.version,sysinfo,,,"1.7",1372485272515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372485272515
java.vm.version,sysinfo,,,"23.21-b01",1372485272515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485276375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485362683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372485362747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485365011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485384383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485384476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485385729
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372485385952
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1372485386339
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372485386351
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1372485386754
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1372485386756
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1372485386758
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1372485386759
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1372485386761
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1372485386763
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1372485386765
