what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1372487073660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487074630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487075901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487080531
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487080936
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487081260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487083568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487084844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487092832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487093038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487095482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487096747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487097750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487099018
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487099392
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372487099880
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1372487100290
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1372487100291
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1372487100293
